                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55978,                0.67457,                0.92576,                 0.9358,                0.83488,                0.91013,                0.78574,                0.58514,                0.42306,                0.88021,             0.00034374,             0.00034374,             0.00034374
                     37,                0.54388,                0.64801,                0.92588,                0.96092,                0.83643,                0.91184,                0.78249,                0.57843,                0.41458,                0.88257,             0.00033853,             0.00033853,             0.00033853
                     38,                0.55515,                0.63895,                0.92312,                0.94215,                0.84181,                0.90845,                 0.7816,                0.59011,                0.42105,                0.88425,             0.00033333,             0.00033333,             0.00033333
                     39,                0.55175,                0.64043,                0.92429,                0.95538,                0.83991,                 0.9163,                0.78936,                0.58333,                0.39238,                0.88512,             0.00032812,             0.00032812,             0.00032812
                     40,                0.54822,                0.62262,                0.92448,                0.96795,                0.83776,                0.91262,                0.78737,                0.58201,                0.38823,                0.88295,             0.00032291,             0.00032291,             0.00032291
                     41,                0.54673,                0.62663,                0.92608,                0.96221,                0.84836,                0.92434,                0.79912,                0.57707,                0.39079,                0.87979,              0.0003177,              0.0003177,              0.0003177
                     42,                   0.54,                0.61314,                 0.9252,                0.93651,                0.85391,                0.91866,                0.78842,                0.57825,                0.39204,                0.88288,              0.0003125,              0.0003125,              0.0003125
                     43,                0.54798,                0.63701,                0.92406,                0.95565,                0.86244,                0.91816,                  0.796,                0.57216,                0.38256,                 0.8763,             0.00030729,             0.00030729,             0.00030729
                     44,                0.53508,                0.59932,                 0.9233,                0.95291,                0.84769,                0.91874,                0.78796,                0.58459,                0.38163,                 0.8812,             0.00030208,             0.00030208,             0.00030208
                     45,                0.54586,                0.62155,                0.92574,                0.94738,                0.85489,                0.91982,                 0.7902,                  0.577,                 0.3886,                0.87975,             0.00029687,             0.00029687,             0.00029687
                     46,                0.53552,                0.60026,                0.92508,                0.94101,                 0.8524,                0.91143,                0.78799,                0.57455,                0.38988,                0.88042,             0.00029167,             0.00029167,             0.00029167
                     47,                0.54212,                0.61452,                0.92461,                0.94034,                0.85753,                0.92536,                 0.7979,                0.57446,                 0.3829,                0.87605,             0.00028646,             0.00028646,             0.00028646
                     48,                0.54171,                0.59805,                0.91934,                0.95597,                0.85435,                0.91974,                0.79231,                0.57028,                 0.3836,                 0.8773,             0.00028125,             0.00028125,             0.00028125
                     49,                0.52876,                0.60119,                0.92289,                0.93234,                 0.8556,                0.91952,                0.79302,                  0.578,                0.39397,                0.88449,             0.00027604,             0.00027604,             0.00027604
                     50,                0.53709,                0.59215,                0.92087,                0.94987,                0.83612,                0.91885,                0.79272,                0.57187,                0.37545,                0.87833,             0.00027084,             0.00027084,             0.00027084
                     51,                0.52833,                0.59502,                0.91887,                0.96398,                0.84771,                 0.9255,                0.80295,                0.56788,                0.36579,                0.87164,             0.00026563,             0.00026563,             0.00026563
                     52,                0.52402,                 0.5667,                0.91785,                0.92206,                0.89708,                0.93061,                0.80457,                0.55894,                0.35488,                0.87379,             0.00026042,             0.00026042,             0.00026042
                     53,                0.52457,                0.57897,                0.91659,                0.97174,                0.85191,                0.92755,                0.80495,                0.57187,                0.35666,                0.87937,             0.00025522,             0.00025522,             0.00025522
                     54,                0.52871,                0.57468,                 0.9207,                0.95791,                0.84017,                0.92475,                0.80004,                0.56699,                 0.3665,                0.88143,             0.00025001,             0.00025001,             0.00025001
                     55,                0.51753,                0.57345,                0.91811,                0.94862,                 0.8513,                0.92227,                0.79781,                   0.57,                0.35895,                0.87755,              0.0002448,              0.0002448,              0.0002448
                     56,                0.51779,                0.56905,                0.91451,                0.91559,                0.87785,                0.92455,                 0.8055,                0.55708,                0.34778,                0.87082,             0.00023959,             0.00023959,             0.00023959
                     57,                0.52498,                0.57421,                 0.9227,                0.95823,                0.86765,                0.93041,                0.80656,                0.56552,                0.35542,                0.87648,             0.00023439,             0.00023439,             0.00023439
                     58,                0.51427,                0.55256,                0.91309,                0.94529,                0.85883,                0.92825,                0.80817,                 0.5577,                0.36155,                0.87219,             0.00022918,             0.00022918,             0.00022918
                     59,                0.52777,                0.55996,                0.91565,                0.96199,                0.84429,                0.92148,                0.80595,                0.55709,                0.36062,                0.87702,             0.00022397,             0.00022397,             0.00022397
                     60,                0.50611,                0.53894,                0.91186,                 0.9574,                0.85384,                0.92835,                0.80591,                0.55741,                0.34862,                0.87622,             0.00021876,             0.00021876,             0.00021876
                     61,                0.50084,                0.54162,                0.91309,                0.93798,                0.85225,                0.92212,                0.80149,                0.56251,                0.35921,                0.87519,             0.00021356,             0.00021356,             0.00021356
                     62,                0.50629,                0.53225,                0.91404,                0.94382,                0.85108,                0.92561,                0.80506,                0.56294,                0.35179,                0.87316,             0.00020835,             0.00020835,             0.00020835
                     63,                0.51209,                0.54819,                0.91141,                0.91113,                0.87972,                0.92649,                0.80284,                0.55925,                0.34876,                0.87625,             0.00020314,             0.00020314,             0.00020314
                     64,                0.50398,                0.52768,                0.90954,                0.93551,                 0.8834,                0.93344,                0.81051,                0.55539,                0.34346,                0.87315,             0.00019793,             0.00019793,             0.00019793
                     65,                0.49368,                0.51969,                0.91055,                0.95181,                0.86861,                0.93024,                0.81173,                0.55593,                0.33086,                0.87142,             0.00019273,             0.00019273,             0.00019273
                     66,                0.50313,                0.53678,                0.91329,                0.95789,                0.86672,                0.93372,                0.81261,                 0.5551,                0.33825,                0.87306,             0.00018752,             0.00018752,             0.00018752
                     67,                0.51013,                0.52785,                0.91387,                0.93236,                0.87967,                0.93021,                0.81538,                0.55172,                0.32989,                0.87386,             0.00018231,             0.00018231,             0.00018231
                     68,                0.50069,                0.51523,                0.91395,                0.94993,                0.86491,                 0.9319,                0.80855,                0.55847,                0.33221,                0.87428,              0.0001771,              0.0001771,              0.0001771
                     69,                0.50439,                0.51899,                0.90967,                0.93265,                0.87944,                0.93297,                0.81347,                0.54369,                0.33074,                0.86823,              0.0001719,              0.0001719,              0.0001719
                     70,                0.49474,                0.49969,                0.91028,                0.93829,                 0.8753,                0.93132,                0.81134,                0.55174,                0.33155,                0.87006,             0.00016669,             0.00016669,             0.00016669
                     71,                0.50027,                0.50417,                0.90664,                 0.9462,                0.86579,                0.93138,                0.80805,                0.55457,                0.33132,                0.87225,             0.00016148,             0.00016148,             0.00016148
                     72,                0.49539,                  0.517,                 0.9046,                0.94527,                0.87478,                0.93262,                0.81029,                0.55244,                0.33008,                0.87332,             0.00015627,             0.00015627,             0.00015627
